Hotel Name,City,Country,Category,Price Range,"Distance from
Airport","Have I 
Stayed? (Y/N)",My Rating,Notes
Villa Le Calvane,Tuscany,Italy,Quiet,$$-$$$,<1 hour,Y,7.50,Picturesque grounds & views. Great home base for exploring northern Tuscany. Almost too refined to have a good time. Not kid friendly
Thompson Zihjuantejo ,Zihjuatanejo,Mexico,Beach,$$$,<30 minutes,Y,7.50,Gorgeous property/rooms. Hit or miss service. Incredible beach. Great for familes
Live Zoku,Amsterdam ,Netherlands,City,$,,Y,7.50,"If you're staying in AMS long term, or want a place to sleep & work, this is the best spot i've found. Funk co-working / community space + loft rooms with kitchens. Amazing value"
La Cle Lodge,Franschhoek,South Africa,Wine,$$,<1 hour,Y,7.50,"Beautiful grounds in the Winelands, complete with vineyard to explore. Tiny property, but so quiet & rooms in such proximity that privacy is not great. Communal breakfast is fun, bot not for everyone. Close walk to town"
Arrive Palm Springs,"Palm Springs, CA",USA,Quiet,$$,<30 minutes,Y,7.00,"Great pool scene without the ""party"" of more well-known Palm Spring properties. Good food"
W Amsterdam,Amsterdam,Netherlands,City,$$-$$$,<30 minutes,Y,7.00,"Good location. Awesome rooftop views. Rooms are typical W... bad lighting, not super functional. Poor temperature control"
The Winchester ,Cape Town,South Africa,City,$$-$$$,<30 minutes,Y,7.00,"Decently located in the Sea Point neighborhood of Cape Town, right across from the rocky shorline. Enjoy nice walks along the coast (sunsets are magical) and proximity to good restaurants. Solid food in-house"
Houghton Hotel,JoBurg,South Africa,City,$$$$,<30 minutes,Y,7.00,"Nice resort/golf property in JoBurg if you are passing through. Decent food, good pools, but mixed service & attention to detail. Probably one of the better stays outside of the Four Seaons"
Hacienda San Angel,Puerto Vallarta,Mexico,City,$$,<30 minutes,Y,6.75,Great for history buffs (each room has a guide to the antiques inside). Very one-of-a-kind & old world romance. Would opt for Casa Kimberly for same charm but upgraded & much better food
Hotel Punta Caliza,Isla Holbox,Mexico,Beach,$$,<30 minutes,Y,6.50,Was brand new when I visited. Rooms are nice & comfortable. Pool doesn't make much sense & wasn't used. Probably a pass these days
Finca Can Beneit,Mallorca,Spain,Wine,$$,<1 hour,Y,6.50,Great for those who like Agroturismo stays. Beautiful location / views but hyper-seculded. Not a ton of F&B options. Value not worth it but was interesting to stay at
Hotel Joaquin,"Laguna Beach, CA",USA,Beach,$$,1-2 hours,Y,6.00,"Fake charm, fine if you're looking for something different but not super memorable"
Matachica Belize,Ambergris Caye,Belize,Beach,$$-$$$,2+ hours,Y,5.00,Meh. Belize is in rough shape given seaweed invasion. Beaches at the hotel are uneuseable. Poor service. Not worth it
Hotel Cubo,Llublanja,Slovenia,City,$,,Y,4.00,"Not many options in Ljubljana, but this is not it. Only pro is that it's super close to the city center / bridges which is where you want to be"
